#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-22T18:45:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5daf2cfb9e77	
#INFO	-out.form=mini	
#INFO	-out.max=9999	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.add=_r
#-nav=cat:I/347&tab:{I/347/gaia2dis}&key:source=I/347&HTTPPRM:&&-ref=VIZ5daf2cfb9e77&-file=-c&-out.src=I/347/gaia2dis&-c.r=  2&-c.geom=r&-out.orig=standard&-out=Source&-out=RA_ICRS&-out=DE_ICRS&-out=rest&-out=b_rest&-out=B_rest&-out=rlen&-out=ResFlag&-out=ModFlag&-c.eq=J2000&-c.u=arcsec&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-out.max=50&-out.form=HTML Table&undefined=CDS, France&
#-out.add=_1
#-c.r=  2
#-c.geom=r
#-source=I/347/gaia2dis
#-order=I
#-out.orig=standard
#-out=Source
#-out=RA_ICRS
#-out=DE_ICRS
#-out=rest
#-out=b_rest
#-out=B_rest
#-out=rlen
#-out=ResFlag
#-out=ModFlag
#-out.max=9999
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1347
#Name: I/347
#Title: Distances to 1.33 billion stars in Gaia DR2 (Bailer-Jones+, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_347_gaia2dis:
#Name: I/347/gaia2dis
#Title: Estimating distances from parallaxes (1331909727 sources)
#Column	_1	(A24)	The original question (from your input file)	[ucd=meta.id]
#Column	_r	(F5.3)	Distance from center (311.90047205000+44.49172230000)[ICRS], at Epoch=J2015.5	[ucd=pos.angDistance]
#Column	Source	(a19)	Source identifier, identical to the Gaia-DR2 source_id (id)	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	rest	(F21.15)	? Estimated distance (r_est)	[ucd=pos.distance;stat.mean]
#Column	b_rest	(F21.15)	? Lower bound on the confidence interval of the estimated distance (r_lo)	[ucd=pos.distance;stat.min]
#Column	B_rest	(F21.15)	? Upper bound on the confidence interval of the estimated distance (r_hi)	[ucd=pos.distance;stat.max]
#Column	rlen	(F16.12)	Length scale used in the prior for the distance estimation (r_len)	[ucd=stat.value]
#Column	ResFlag	(A1)	[0-2] Result flag (result_flag) (1)	[ucd=meta.code]
#Column	ModFlag	(I1)	[1/2] Number of modes in the posterior (modality_flag)	[ucd=meta.code]
_1;_r;Source;RA_ICRS;DE_ICRS;rest;b_rest;B_rest;rlen;ResFlag;ModFlag
 ;arcsec; ;deg;deg;pc;pc;pc;pc; ;
------------------------;-----;-------------------;---------------;---------------;---------------------;---------------------;---------------------;----------------;-;-
2MASS J20473611+4429302 ;0.080;2067135396991451648;311.90045549511;+44.49170361619; 3168.649568349329911; 2563.262201312999878; 4070.621691657469910;911.727364003798;1;1

2MASS J20474431+4425382 ;0.070;2067123164925655040;311.93463395517;+44.42725990802; 3205.289713375950214; 2098.396404999260085; 4918.028780784249648;906.426869035842;1;1

2MASS J20474972+4411295 ;0.092;2067093375029664640;311.95709610196;+44.19167361965; 1425.200874924780010;  688.953973148412047; 2998.427451517539794;888.289518658736;1;1

2MASS J20475304+4447563 ;0.077;2067148591131098112;311.97103508881;+44.79897328663; 2228.291678233109906; 2085.287394050189960; 2391.752336985869988;937.322454418408;1;1

2MASS J20475831+4421000 ;0.071;2067121614438021248;311.99295027148;+44.34999566197; 3084.267574524209977; 2126.271714444939789; 4644.004272676270375;900.297746878255;1;1

2MASS J20480358+4405295 ;0.066;2067045679428023680;312.01494214675;+44.09151275571;  907.004894146495985;  788.120151637433992; 1066.769782386520092;881.175834516399;1;1

2MASS J20480776+4400032 ;0.057;2067043038015704704;312.03233948582;+44.00088846945; 3862.681507393060201; 2818.017198292840021; 5442.907005298819968;874.921481402983;1;1

2MASS J20482150+4441150 ;0.094;2067144120067330944;312.08964017625;+44.68748293797; 2868.627529022529870; 2199.982822100019803; 3948.258818860760130;927.183518855912;1;1

2MASS J20482536+4423069 ;0.069;2067120484866030080;312.10567904243;+44.38525170396;  911.151514391652995;  736.805282830388023; 1188.258080702400093;903.061481286761;1;1


2MASS J20482880+4424115 ;0.072;2067120519225769216;312.12002941466;+44.40319447566;  791.413897584837969;  753.154673748606001;  833.687077194056997;904.448586276487;1;1

2MASS J20482977+4351334 ;0.063;2067026678480146176;312.12402332396;+43.85931280998; 2791.530732460620129; 2100.268148454189941; 3920.353231748979852;866.154576701625;1;1


2MASS J20483128+4350345 ;0.105;2067026609760740096;312.13031711713;+43.84293933699; 2098.496718980470177; 1183.859028167639963; 3677.062724742880164;865.162080612064;1;1


2MASS J20483286+4411596 ;0.068;2067069941690420992;312.13693717627;+44.19989725444;  704.444081179049022;  662.743785465189035;  751.631024350430948;889.415838028124;1;1

2MASS J20483292+4351190 ;0.047;2067026678480142464;312.13717372510;+43.85529714473;  681.368543159949013;  601.804626800534948;  784.584295455837037;866.013858385468;1;1

2MASS J20483396+4422288 ;0.072;2067119694592040704;312.14151292264;+44.37465619871;  800.021352708115046;  787.715612832790953;  812.710518295824045;902.308887063911;1;1

2MASS J20483546+4353133 ;0.043;2067026820218564736;312.14773642094;+43.88704422757;  792.652160852847032;  758.039933556256983;  830.510414301433002;868.148917339397;1;1

