#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-22T17:03:29 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5daf2e714d4d	
#INFO	-out.max=9999	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/ApJS/193/25&tab:{J/ApJS/193/25/ysos}&tab:{J/ApJS/193/25/table8}&key:source=J/ApJS/193/25/ysos&key:source=J/ApJS/193/25/table8&HTTPPRM:&&-ref=VIZ5daf2e714d4d&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=J/ApJS/193/25/ysos,J/ApJS/193/25/table8
#-order=I
#-out=cl
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_21930025
#Name: J/ApJS/193/25
#Title: The NAN complex. II. MIPS observations (Rebull+, 2011)
#Table	J_ApJS_193_25_ysos:
#Name: J/ApJS/193/25/ysos
#Title: Complete list of YSOs: Spitzer measurements and  YSO criteria
#Column	cl	(A4)	YSO class (2)	[ucd=src.class]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A16)	2MASS name (HHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
cl;RAJ2000;DEJ2000;2MASS
 ;deg;deg;
----;----------;----------;----------------
flat;311.839630;+44.173649;20472150+4410253
III ;311.900391;+44.491657;20473611+4429302
II  ;311.934601;+44.427231;20474431+4425382
I   ;311.957275;+44.191322;20474972+4411295
III ;311.971039;+44.798981;20475304+4447563
II  ;311.992950;+44.349998;20475831+4421000
II  ;312.014893;+44.091465;20480358+4405295
III ;312.032288;+44.000915;20480776+4400032
II  ;312.089539;+44.687485;20482150+4441150
II  ;312.105774;+44.385151;20482536+4423069
flat;312.108826;+43.861218;20482611+4351405
flat;312.115540;+44.773636;
II  ;312.119995;+44.403213;20482880+4424115
II  ;312.124054;+43.859348;20482977+4351334
flat;312.130096;+44.773609;20483122+4446251
II  ;312.130341;+43.842915;20483128+4350345
I   ;312.131592;+45.020176;20483157+4501126
II  ;312.136871;+44.199871;20483286+4411596
flat;312.137500;+43.855300;20483292+4351190
II  ;312.141510;+44.374630;20483396+4422288
II  ;312.147736;+43.887016;20483546+4353133
flat;312.151886;+43.966751;20483643+4358004
II  ;312.166596;+44.851395;20483999+4451050
II  ;312.168152;+43.856743;20484037+4351243
I   ;312.171875;+44.775734;20484125+4446329
flat;312.193481;+44.755558;20484646+4445200
I   ;312.194488;+44.697514;
II  ;312.198669;+44.636189;
II  ;312.209290;+44.660480;20485022+4439378
flat;312.211243;+43.830483;20485070+4349496
II  ;312.215332;+43.850384;20485169+4351014
flat;312.226410;+44.897137;20485433+4453498
II  ;312.240814;+43.831932;20485779+4349550
II  ;312.249054;+44.691036;20485979+4441278
I   ;312.249300;+43.836000;20485975+4350093
II  ;312.250153;+43.854897;20490004+4351173
II  ;312.255066;+44.577026;20490122+4434373
II  ;312.255524;+45.113274;20490132+4506478
II  ;312.256714;+43.959335;20490160+4357334
II  ;312.268921;+45.104038;20490453+4506145
flat;312.272919;+44.059258;20490547+4403333
flat;312.277252;+45.171959;20490654+4510190
I   ;312.281555;+44.040836;20490756+4402268
I   ;312.290161;+43.848404;20490965+4350545
I   ;312.295807;+43.836639;20491099+4350118
II  ;312.296783;+43.846676;20491123+4350481
flat;312.299072;+44.193203;20491177+4411356
II  ;312.299103;+44.209160;20491176+4412329
III ;312.299896;+44.236759;20491197+4414123
II  ;312.301453;+44.120747;20491237+4407147
I   ;312.303742;+44.194271;20491288+4411394
I   ;312.308044;+43.840412;
II  ;312.317047;+43.827793;
II  ;312.324982;+44.093372;20491799+4405362
flat;312.326843;+43.667778;20491845+4340043
II  ;312.334595;+44.587109;20492030+4435134
III ;312.343842;+43.549095;20492249+4332569
II  ;312.346832;+44.576992;20492323+4434373
III ;312.352295;+43.676918;20492454+4340368
II  ;312.353149;+44.589352;20492476+4435218
I   ;312.367340;+44.666042;20492814+4439577
II  ;312.373352;+44.012974;20492960+4400467
I   ;312.379059;+43.698959;
II  ;312.384094;+44.284229;20493219+4417031
flat;312.393768;+44.728596;20493451+4443427
flat;312.396027;+44.322033;20493504+4419194
flat;312.397583;+43.669163;20493543+4340090
I   ;312.401856;+43.635433;20493642+4338081
II  ;312.402405;+44.232620;20493659+4413575
II  ;312.424560;+43.983555;20494188+4359006
I   ;312.428253;+44.744537;20494279+4444403
II  ;312.429657;+44.505146;20494311+4430186
II  ;312.432404;+44.722458;20494378+4443208
II  ;312.437470;+44.728310;20494501+4443417
II  ;312.441742;+44.701645;20494599+4442060
I   ;312.461121;+43.715050;20495065+4342548
II  ;312.461639;+44.209351;20495080+4412336
I   ;312.469727;+44.222908;20495274+4413226
I   ;312.470978;+44.260902;20495303+4415393
flat;312.474762;+44.217312;
II  ;312.476929;+44.288803;20495446+4417198
I   ;312.494629;+44.212791;
I   ;312.497406;+44.269043;
II  ;312.519531;+44.986389;20500467+4459112
flat;312.532837;+44.828690;
flat;312.534363;+44.830486;20500821+4449499
I   ;312.539246;+44.447933;20500940+4426522
II  ;312.539368;+43.967632;20500946+4358036
II  ;312.541260;+44.255875;20500991+4415212
II  ;312.546539;+44.970715;
I   ;312.547180;+44.339012;
flat;312.548523;+44.202267;20501166+4412083
I   ;312.548920;+43.966640;20501174+4357598
II  ;312.568817;+44.421249;20501651+4425166
